Memory:,Graphics Card:,CPU:,File Size:,OS:,name
 3 GB, AMD Radeon R7 260X , Intel Core i5-450M , 60 GB," Windows® 7 32/64 bit, Windows® 8.1 32/64 bit, Windows® 10 32/64 bit",FINAL FANTASY XIV System Requirements
 12 GB, NVIDIA GeForce GTX 1060 3GB  or Radeon RX 580, Intel Core i5-8400  or Ryzen 3 3300X, 60 GB, Windows 10,Elden Ring System Requirements
 8 GB, NVIDIA GeForce GTX 1050 Ti , Intel Core i5-6600K , 100 GB, Windows 10 64-bit,FIFA 23 System Requirements
 4 GB, NVIDIA GeForce 9800 GT  or Radeon HD 4870, Intel Core 2 Quad Q6600  or Phenom 9850, 72 GB, Windows 7 64-bit,GTA 5 System Requirements
 8 GB, NVIDIA GeForce GTX 960  or Radeon RX 470, Intel Core i5-2500K  or Ryzen 3 1200, 125 GB, Windows 10 64-bit,Call of Duty: Warzone 2 System Requirements
 8 GB, NVIDIA GeForce GTX 960 , Intel Core i5-4460 , 60 GB, Windows 10,Far Cry 6 System Requirements
 4 GB, NVIDIA GeForce GTX 650 , Intel Core 2 Duo E8400 , 20 GB, Windows XP SP3/Windows 7 SP1/Windows 8,Path of Exile System Requirements
 4 GB, NVIDIA GeForce GTX 660 , Intel Core i3-2100 , 40 GB," 64-bit Windows 7, 64-bit Windows 8.1 or 64-bit Windows 10",Sniper Elite 4 System Requirements
 8 GB, AMD Radeon RX 470 , Intel Core i5-3570K , 15 GB, Windows 10 (64-bit versions only),Ranch Simulator System Requirements
 8 GB, AMD Radeon HD 7750 , Intel Core i3-2100T , 25 GB," Windows 7 64-bit, 8.1 64-bit or Windows 10 64-bit",A Way Out System Requirements
 4 GB, AMD Radeon HD 6870 , Intel Core i5-3450 , 20 GB, Windows 8/10 (64-bit OS required),GUILTY GEAR -STRIVE- System Requirements
 8 GB, NVIDIA GeForce GTX 750 Ti , AMD FX-6300 , 20 GB, Windows 7 64-bit or newer,NARAKA: BLADEPOINT System Requirements
 2 GB, NVIDIA GeForce GT 610 , AMD Athlon 64 X2 4000+ , 50 GB," Windows XP, Vista, 7",Star Wars: The Old Republic System Requirements
 4 GB, AMD Radeon HD 6950 , Intel Core i5-2400 , 20 GB, Windows 10 (64-bit),STALCRAFT System Requirements
 4 GB, NVIDIA GeForce GTX 770 , Intel Core i5-3570 , 17 GB, Windows 10 (64-Bit),Trader Life Simulator System Requirements
 8 GB, AMD Radeon R5 M230 , Intel Pentium 4 4.00GHz , 20 GB," 64 bit Windows 8.1, Windows 10 or Windows 11",Tower! Simulator 3. System Requirements
 4 GB, AMD Radeon R9 280 , Intel Core i5-2500K , 150 GB, Windows 7 - Service Pack 1 (6.1.7601),Red Dead Online System Requirements
4 GB,Intel HD 3000,Intel Core 2 Duo E8400,5 GB,Ubuntu 12.04,Garry's Mod System Requirements
 6 GB, NVIDIA GeForce GTX 960 , Intel Core i5-3570 , 75 GB, Windows 10,Tiny Tina's Wonderlands System Requirements
 8 GB, NVIDIA GeForce GTX 980 , Intel Core i5-6600K , 40 GB, Windows 7,ARK 2 System Requirements
 8 GB, ATI Radeon HD 5870 , AMD A10-5700 , 35 GB, Windows 7,World War Z System Requirements
 ATI FireMV 2400 PCIe , Intel Core 2 Duo Q6867 , 8 GB, Windows® XP (32-64 bits) /Windows Vista®(32-64 bits)/Windows 7® (32-64 bits) , Windows® XP (32-64 bits) /Windows Vista®(32-64 bits)/Windows 7® (32-64 bits) ,Assassin's Creed 2 System Requirements
 4 GB, Intel HD 4000 , Intel Core i3-530 , 4 GB," Windows 7,8,10,64bit",PUBG Lite System Requirements
 8 GB, NVIDIA GeForce GTX 760 , Intel Core i3-10300 , 12 GB," 64-bit Windows 10,Other Windows systems with DirectX 11 installed",Chimeraland System Requirements
 8 GB, AMD Radeon HD 7850 , Intel Core i3-3225 , 70 GB, Windows 7 64-Bit,Call of Duty Infinite Warfare System Requirements
 8 GB, NVIDIA GeForce GTX 960  or Radeon RX 460, Intel Core i5-4460  or FX-6300, 45 GB, Windows 10,RESIDENT EVIL 3 System Requirements
 2 GB, ATI Radeon HD 5870 , Intel Core 2 Duo E8500 , 12 GB," Windows Vista SP2, Windows 7 SP1, Windows 8",DARK SOULS II System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, Unknown,L.A. Noire System Requirements
 8 GB, NVIDIA GeForce GTX 660  or Radeon R9 280X, Intel Core i5-2400  or FX-6300, 28 GB, Windows 7,Immortals Fenyx Rising System Requirements
 8 GB, NVIDIA GeForce GTX 960 , Intel Core i5-4460 , 10 GB, Windows 10,Construction Simulator System Requirements
2 GB,ATI Radeon HD 5750,Intel Core 2 Duo E8400,500 MB,Unknown,Dead Cells System Requirements
 4 GB, ATI FireGL V7350 , Intel Core i5-4400E , 5 GB, Windows 10 - 64 bit,Pacify System Requirements
 8 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , 150 GB, Windows 10 64-bit,Marvel's Guardians of the Galaxy System Requirements
 2 GB, NVIDIA GeForce 7800 GT , AMD Athlon 64 X2 4000+ , 8 GB, Windows® XP (with Service Pack 3) or Windows Vista®,Prototype System Requirements
 4 GB, ATI Radeon HD 4850 , AMD Phenom 8650 , 30 GB, Windows® 7 / Windows® 8 / Windows® 10 64-bit (latest Service Pack),Overwatch System Requirements
4 GB,NVIDIA GeForce GTX 650,Intel Core i3-3225,45 GB,Ubuntu 14.04.2 64-bit or Steam OS,XCOM 2 System Requirements
 800 MB, AMD Radeon HD 3450 , AMD Athlon X2 250 , 1 GB, windows7,Change System Requirements
 4 GB, NVIDIA GeForce GTX 960 , Intel Pentium 4 2.00GHz , 4 GB, Windows 7 or higher,The Mortuary Assistant System Requirements
 8 GB, NVIDIA GeForce GTX 950 , Intel Core i3-4160 , 75 GB, Windows 10 64-bit,Marvels Avengers System Requirements
 6 GB, NVIDIA GeForce GTX 660 , Intel Core i5-2400S , Unknown, Windows 7 SP1 or Windows 8.1 or Windows 10 (64bit versions),Assassin's Creed Syndicate System Requirements
 4 GB, AMD Radeon HD 5450 , Intel Core i5-4400E , 8 GB, Windows 10,Ghost Watchers System Requirements
 4 GB, NVIDIA GeForce GTX 660 Ti , Intel Core i5-2400 , 15 GB, Windows 7 DX11 Support,Dauntless System Requirements
 6 GB, NVIDIA GeForce GTX 660 , Intel Core i5-2400 , 25 GB, Windows 8.1,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles System Requirements
 4 GB, NVIDIA GeForce 8800 GT , Intel Core 2 Duo E4600 , 30 GB, Windows 7 64-bit or newer,Paladins System Requirements
 8 GB, AMD Radeon R7 370 , Intel Core i5-4430 , 40 GB, 64-bit Windows 10,SUPER PEOPLE System Requirements
 1 GB, ATI Radeon 7500 , AMD Athlon XP 1700+ , 3 GB, Windows 2000,Need for Speed: Most Wanted (2005) System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i3-3240  or Ryzen 3 1200, 50 GB, Windows 10,Saints Row System Requirements
4 GB,NVIDIA GeForce 8400 GS,Intel Core 2 Duo U7600,3 GB,Ubuntu 14.04 LTS 64-bit,Kerbal Space Program System Requirements
 4 GB, AMD Radeon HD 6950 , Intel Core i3-3220 , 20 GB, Microsoft Windows 7 / 8 (8.1)/ 10,Bayonetta System Requirements
4 GB,AMD Radeon R7 260X,AMD FX-6300,15 GB,Ubuntu 14.04 or Steam OS 2.0 (64 bit),Tomb Raider System Requirements
6 GB,NVIDIA GeForce GTX 680,Intel Core i3-4130,60 GB,Ubuntu 18.04 64-bit,Total War: THREE KINGDOMS System Requirements
 8 GB, AMD Radeon R7 370 , Intel Core i5-4430 , 20 GB," 64-bit Windows 7, Windows 8.1, Windows 10",SCUM System Requirements
 4 GB, AMD Radeon HD 6850 , Intel Core 2 Duo Q6867 , 30 GB, Windows 10 64bit,Age of Empires II: Definitive Edition System Requirements
 4 GB, AMD Radeon HD 7770 , Intel Core i3-2100T , 20 GB," 64-bit Windows 7, Windows 8, Windows 10",Farming Simulator 19 System Requirements
 8 GB, AMD Radeon RX 460 , Intel Core i3-6100 , 50 GB, Windows 10,Madden NFL 23 System Requirements
4 GB,Intel HD 4000,Intel Core 2 Duo E4600,3 GB,Ubuntu 14.04 64-bit,American Truck Simulator System Requirements
2 GB,AMD Radeon HD 6750,Intel Core Duo T2500,2 GB,Ubuntu 16.04 LTS,Europa Universalis IV System Requirements
 8 GB, AMD Radeon R9 370  or GeForce GTX 950, Intel Core i5-650  or Ryzen 5 1400, 40 GB, Windows 10,Company of Heroes 3 System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, System requirements coming soon,The Outer Worlds System Requirements
 2 GB, ATI Radeon HD 5770 , Intel Core 2 Duo E8400 , 14 GB, Windows 8.1,Persona 4 Golden System Requirements
 2 GB, NVIDIA GeForce 9800 GT , Intel Core 2 Duo Q6867 , 2 GB, Windows 7 64-bit or later,ULTRAKILL System Requirements
 8 GB, NVIDIA GeForce GT 430 , Intel Core i3-4150 , 103 GB, Windows 10 64bit,Phantasy Star Online 2 System Requirements
 12 GB, AMD Radeon R9 380 , Intel Core i5-6600 , 10 GB, Windows 10 64-bit,Marauders System Requirements
 16 GB, AMD Radeon RX 580 , Intel Core i5-6400 , 60 GB, Windows 10 64-bit (version 1903),Returnal™ System Requirements
 8 GB, AMD Radeon RX 560  or GeForce GTX 1050 Ti, Intel Core i5-7500  or Ryzen 3 1200, Unknown, Windows 10 (64 bit),Resident Evil 4 System Requirements
 4 GB, NVIDIA GeForce GTX 980M , Intel Core i5-2500K , 700 MB," Windows 7 SP1, Windows 8.1 or Windows 10",Virtual Desktop System Requirements
 12 GB, AMD Radeon R5 M230 , Intel Pentium 4 4.00GHz , 30 GB, Requires a 64-bit processor and operating system,SCP: Pandemic System Requirements
 8 GB, AMD Radeon RX 580 , Intel Core i5-7400 , 20 GB, Windows 10 64-bit,Vampire The Masquerade: Bloodhunt System Requirements
 2 GB, AMD Radeon HD 2600 XT , Intel Core 2 Duo U7600 , 30 GB, Windows® 7 / Windows® 8 / Windows® 10,Starcraft 2 System Requirements
 3 GB, NVIDIA GeForce 8800 GT , Intel Core 2 Duo E8400 , 18 GB, Windows 7,Need For Speed: The Run System Requirements
 6 GB, NVIDIA GeForce GTX 770 , Intel Core i5-4400E , 5 GB, Windows 7 and up,Hello Neighbor System Requirements
 4 GB, AMD Radeon HD 6870 , Intel Core i5-2500 , 10 GB, Windows® 7 64-bit / Windows® 8 64-bit / Windows® 8.1 64-bit / Windows® 10 64-bit,Dead Island Definitive Edition System Requirements
 4 GB, NVIDIA GeForce GTX 650 Ti , Intel Core i3-3225 , 12 GB, Windows 7 (SP1) 64bit,Pentiment System Requirements
 4 GB, ATI FireMV 2400 PCIe , AMD Athlon 64 X2 4400+ , 8 GB, Windows® XP,Assassin's Creed System Requirements
 6 GB, NVIDIA GeForce GTX 660 , Intel Core i3-2340UE , 8 GB, Windows 10 64 bit,Coral Island System Requirements
 2 GB, AMD Radeon HD 5670 , Intel Core 2 Quad Q6600 , 12 GB, Windows 7 SP1 or Windows 8/8.1 (64bit versions only),Assassin's Creed Rogue System Requirements
 8 GB, AMD Radeon HD 7870 , Intel Core i3-2120 , 50 GB, Windows 7/8/10 (64 bits),A Plague Tale: Innocence System Requirements
6 GB,ATI FireGL T2-128,Intel Core 2 Duo Q6867,900 MB,SteamOS,Chained Echoes System Requirements
 8 GB, NVIDIA GeForce GTX 1050 , Intel Core i5-4400E , 4 GB, Windows 10 and Windows 11,Dune: Spice Wars System Requirements
 2 GB, ATI Radeon HD 3850 , Intel Core 2 Duo E4600 , Unknown," 32-bit:  Vista, Win 7, Win 8",Batman: Arkham Origins System Requirements
 8 GB, NVIDIA GeForce GTX 780 , Intel Core i5-3470 , 4 GB, Windows 10 (64bit versions only),Farthest Frontier System Requirements
 6 GB, AMD Radeon HD 5450 , Intel Core 2 Duo Q6867 , 20 GB, Windows® 7 (32/64-bit)/Vista or Greater,Black Mesa System Requirements
4 GB,NVIDIA GeForce GT 640,Intel Core i5-750,47 GB,Ubuntu 14.04.2 64-bit / SteamOS,Middle-earth: Shadow of Mordor System Requirements
 8 GB, AMD Radeon HD 7850 , Intel Core i5-2500K , 15 GB, Windows 7 64-Bit or later,GTFO System Requirements
4 GB,Intel HD 4400,Intel Core i5-4400E,7 GB,SteamOS or Ubuntu 16.04 or 17.04,The Long Dark System Requirements
 2 GB, NVIDIA GeForce GTX 670 , Intel Core i5-2500K , 40 GB," Windows 7 SP1, 8.1 or 10",Tom Clancy's The Division 2 System Requirements
2 GB,ATI Radeon HD 2600 PRO,Intel Core 2 Duo T7700,13 GB,Unknown,Borderlands 2 System Requirements
2 GB,AMD Radeon HD 2600 XT,Intel Core 2 Duo Q6867,8 GB,Ubuntu 12.04,Portal 2 System Requirements
 8 GB, NVIDIA GeForce GTX 760 , Intel Core i5-6600K , 45 GB, Windows 10,GTA Trilogy System Requirements
 8 GB, NVIDIA GeForce GTX 780 , Intel Core i5-3570 , 55 GB, Windows 10,Mass Effect Legendary Edition System Requirements
 8 GB, NVIDIA GeForce GTX 780 , Intel Core i5-6600 , 35 GB, Windows 10 64-bit,ONE PIECE ODYSSEY System Requirements
1 GB,ATI FireGL T2-128,Intel Pentium 4 2.00GHz,90 MB,Most modern 64bit Linux distributions,Genius Calculator System Requirements
 8 GB, AMD Radeon HD 5570 , Intel Core i3-2105 , 42 GB, Windows 10 version 18362.0 or higher,Age of Empires III: Definitive Edition System Requirements
 4 GB, Intel HD 4000 , Intel Core 2 Duo Q6867 , 5 GB, Windows 7,Streamer Life Simulator System Requirements
 4 GB, NVIDIA GeForce GTX 750 Ti , Intel Core i3-7100 , 50 GB, Windows 7 / 8 / 8.1 / 10 (64-bit OS required),ACE COMBAT 7: SKIES UNKNOWN System Requirements
 6 GB, NVIDIA GeForce GTX 480 , Intel Core i3-4160 , Unknown, Windows 7 64-bit,Street Fighter V System Requirements
 8 GB, NVIDIA GeForce GTX 670 , Intel Core i3-6100 , 2 GB, Windows 10,Potion Craft System Requirements
 4 GB, ATI Radeon HD 2600 PRO , Intel Core 2 Duo E8400 , 8 GB, Microsoft Windows XP (SP2 or later) / Windows Vista / Windows 7,Mafia II System Requirements
 4 GB, NVIDIA GeForce 8500 GT , Intel Core i3-2340UE , 20 GB, WINDOWS® 7 / 8.1 / 10 (64-bit required),コイカツ！ / Koikatsu Party System Requirements
4 GB,AMD Radeon R9 270,Intel Core i3-4130,29 GB,"Ubuntu 16.10 64-bit, SteamOS 2.0",Total War: WARHAMMER System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i5-3570K , 2 GB, Microsoft Windows 7,VTOL VR System Requirements
 8 GB, NVIDIA GeForce GTX 960  or Radeon RX 460, Intel Core i5-4460  or FX-6300, 24 GB, Windows 10,Resident Evil 7 System Requirements
8 GB,NVIDIA GeForce 7200 GS,Intel Core i5-4400E,20 GB,"Varies, Ubuntu 16.04LTS tested",X-Plane 11 System Requirements
 8 GB, Intel Iris Pro 580 , Intel Core i5 750S , 35 GB, 64bit OS - Windows 7 with Service Pack 1,Generation Zero System Requirements
 8 GB, AMD Radeon HD 7870 , Intel Core i5-2500 , 30 GB, Windows 10 64-bit,State of Decay 2 System Requirements
 4 GB, AMD Radeon HD 6870 , Intel Core i5-3470 , 6 GB, Windows 7/8/10 (64-bit OS required),DRAGON BALL FighterZ System Requirements
 8 GB, AMD Radeon RX 570 , Intel Core i5-6600K , 40 GB, Windows 7,Back 4 Blood System Requirements
 8 GB, NVIDIA GeForce GTX 670 , Intel Core i5-2400 , 3 GB, Windows 7,Totally Accurate Battle Simulator System Requirements
 8 GB, ATI FireGL T2-128 , Intel Core i5-6600K , 45 GB, Windows 10,GTA: Vice City System Requirements
 4 GB, NVIDIA GeForce GTX 750 Ti , Intel Core i3-550 , 40 GB," Windows 7, Windows 8.1, Windows 10 (64-bit versions only)",FOR HONOR System Requirements
 6 GB, NVIDIA GeForce GTX 1060 , Intel Core i3-4130 , 20 GB, Windows 7,Chivalry 2 System Requirements
 4 GB, NVIDIA GeForce GTX 970 , AMD FX-8350 , 1 GB," Windows 7, Windows 8.1, Windows 10",VRChat System Requirements
 4 GB, NVIDIA GeForce GTX 660 , Intel Core i5-2500K , 30 GB, Windows 7 or higher,PC Building Simulator System Requirements
 2 GB, AMD Radeon HD 3450 , Intel Core 2 Duo U7600 , Unknown," Windows Vista, 7",Hitman: Absolution System Requirements
 1 GB, AMD Radeon X1600 , Intel Core 2 Duo E8400 , 8 GB, Windows XP,Call of Duty: World at War System Requirements
 4 GB, AMD Radeon R9 270 , Intel Core i5-750 , 52 GB, 64-bit Windows 7 / Windows 10,Injustice 2 System Requirements
6 GB,NVIDIA GeForce GTX 680,Intel Core i3-4130,52 GB,Ubuntu 18.04 64-bit,Total War: WARHAMMER II System Requirements
 4 GB, AMD Radeon R7 370 , Intel Core 2 Duo E8700 , 8 GB, Windows 7/8/10 64-bit,Frostpunk System Requirements
4 GB,Intel HD 3000,Intel Core 2 Duo E8400,500 MB,Linux,RimWorld System Requirements
 2 GB, NVIDIA GeForce 7200 GS , Intel Core 2 Duo E8200 , 17 GB, Windows Vista® (SP2) / Windows® 7 (SP1) / Windows® 8,Assassin's Creed III System Requirements
 4 GB, AMD Radeon HD 5450 , Intel Pentium 4 2.00GHz , 15 GB, WINDOWS® 8.1 / 10 (64-bit required),HoneySelect2Libido DX System Requirements
8 GB,AMD Radeon HD 5450,Intel Pentium 4 2.00GHz,4 GB,Ubuntu 20.04 or newer,Return to Monkey Island System Requirements
 8 GB, NVIDIA GeForce GTX 1070 , Intel Core i5-7600 , 20 GB, Windows 10,BONELAB System Requirements
 8 GB, AMD Radeon R9 280 , Intel Core i5-6400 , 25 GB, Windows 10 version 1903,F.I.S.T.: Forged In Shadow Torch System Requirements
 8 GB, NVIDIA GeForce GTX 760 , Intel Core i5-4440 , 40 GB, Windows 7/8/10 (64 bits),Insurgency: Sandstorm System Requirements
 8 GB, AMD Radeon HD 7870 , Intel Core i3-6100 , 15 GB, Windows 7 SP1 x64,Honkai Impact 3rd System Requirements
512 MB,AMD Radeon X1600,Intel Pentium 4 1.70GHz,15 GB,Ubuntu 12.04,Team Fortress 2 System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4460 , 45 GB, Windows 10,Watch Dogs Legion System Requirements
 8 GB, AMD Radeon HD 7850 , Intel Core i3-6300T , 45 GB, Win 7/8/8.1/10 64bit,Titanfall 2 System Requirements
 4 GB, NVIDIA GeForce GTX 660 , Intel Core i5-2300 , 17 GB, Windows 7/8/10 (64-bit OS required),JUMP FORCE System Requirements
 4 GB, AMD Radeon HD 7770 , Intel Core i3-2100 , 110 GB," Windows 7 64-bit, Windows 8.1 64-bit or Windows 10 64-bit",NBA 2K21 System Requirements
2.5 GB,Intel HD 3000,Intel Core 2 Duo T5750,200 MB,Ubuntu 14.04 LTS ,Terraria System Requirements
 8 GB, NVIDIA GeForce GTX 660 , Intel Core i5-750 , 2 GB, Windows 10,TUNIC System Requirements
 4 GB, AMD Radeon RX 460 , Intel Core 2 Duo E8700 , 8 GB, Windows 7/8/10 64-bit,Green Hell System Requirements
 8 GB, NVIDIA GeForce GTX 750 Ti , Intel Core i3-6100 , 3 GB, Windows 10,Sable System Requirements
 8 GB, AMD Radeon RX 480 , Intel Core i5-3330 , 100 GB, Windows® 10 64-bit (ver. 2004 or later),FINAL FANTASY VII REMAKE INTERGRADE System Requirements
 6 GB, NVIDIA GeForce GTX 470 , Intel Celeron J1900 , 25 GB, Windows 7/8/10 64-bit,Elite Dangerous System Requirements
 4 GB, AMD Radeon HD 6850 , AMD Phenom II X4 960T , 43 GB, Windows 7,Halo: The Master Chief Collection System Requirements
 8 GB, NVIDIA GeForce GTX 760 , Intel Core i5-2300 , 45 GB, Windows 10 (64-bit Only),Tales of Arise System Requirements
 4 GB, AMD Radeon R9 270 , Intel Core i5-4590 , 6 GB," Windows 7, 8, 10",CarX Drift Racing Online System Requirements
 2 GB, ATI Radeon 3000 , Intel Core 2 Duo T7250 , 20 GB, Windows 7 64-bit,Battlefield 3 System Requirements
 2 GB, AMD Radeon HD 4650 , AMD Athlon II X2 215 , 35 GB, Windows 7 x86,World of Warships System Requirements
 8 GB, NVIDIA GeForce GTX 960 , Intel Core 2 Quad Q9650 , 25 GB, Windows 8 64-bit or later (64 Bit ONLY),The Isle System Requirements
 2 GB, AMD Radeon HD 7850 , Intel Core i5-4430 , 16 GB," Windows 8.1 64-Bit, Windows 10 64-Bit",iRacing System Requirements
 8 GB, AMD Radeon R9 280X , Intel Core i5-4590 , 18 GB, Windows 8.1/10 64bit,"Warhammer 40,000: Chaos Gate - Daemonhunters System Requirements"
8 GB,AMD Radeon HD 7870,Intel Core i5-2500K,50 GB,Ubuntu 16.04 or Steam OS 2.0,HITMAN System Requirements
 8 GB, NVIDIA GeForce GTX 660 , AMD Phenom II X4 940 , 60 GB, OS 64-bit Windows 7,HITMAN 2 System Requirements
 2 GB, NVIDIA GeForce 8600 GTS , Intel Core 2 Duo T5750 , 20 GB, Windows 7,EVE Online System Requirements
 6 GB, AMD Radeon HD 6570 , Intel Core i3-540 , 10 GB, Windows 10,Disney Dreamlight Valley System Requirements
 1 GB, NVIDIA GeForce 6800 , Intel Pentium 4 2.40GHz , 7 GB, Windows XP,Fallout 3 System Requirements
 8 GB, NVIDIA GeForce GTX 1050 , Intel Pentium 4 2.00GHz , 10 GB, Windows 7,Hellish Quart System Requirements
 2 GB, NVIDIA GeForce GTS 450 , Intel Core i5-2400 , 25 GB, XP or Vista or 7 or 8,METAL GEAR RISING: REVENGEANCE System Requirements
 512 MB, Intel Media Accelerator 500 , Intel Pentium 4 2.00GHz , 500 MB, Windows Xp or Higher,Unity Testing Grounds System Requirements
 1 GB, AMD Radeon X1950 Pro , AMD Athlon 64 X2 5600+ , 12 GB, Windows XP,Diablo 3 System Requirements
 4 GB, AMD Radeon R9 280X , Intel Core i5-4460 , 1 GB, Windows 10,FPS Chess System Requirements
 8 GB, NVIDIA GeForce GTX 770 , Intel Core i3-6300 , 6 GB, Windows 10,JoJo's Bizarre Adventure: All-Star Battle R System Requirements
 8 GB, AMD Radeon HD 7870 , Intel Core i5-2400S , Unknown," Windows 7 SP1, Windows 8.1, Windows 10 (64-bit versions only)",The Crew 2 System Requirements
 2 GB, NVIDIA GeForce 8800 GT , Intel Core 2 Duo Q6867 , 15 GB, Windows Vista Service Pack 2,Sleeping Dogs System Requirements
 2 GB, AMD Radeon HD 6570 , Intel Pentium G4400 , Unknown, Windows 7 and higher (64 bit only),DRAGON BALL XENOVERSE 2 System Requirements
 4 GB, AMD Radeon R7 260X , AMD Phenom II X4 955 , 2 GB, Windows 7 (64-bit) or newer,Canvas System Requirements
 2 GB, NVIDIA GeForce 8600 GT , Intel Core 2 Duo E8400 , 35 GB, Windows 7 32/64 Service Pack 1,Max Payne 3 System Requirements
 4 GB, NVIDIA GeForce 6100 , Intel Core 2 Duo E4600 , 50 GB, Windows® XP Service Pack 3 or better,Guild Wars 2 System Requirements
 512 MB, NVIDIA GeForce 6600 , Intel Core 2 Duo E8400 , 8 GB, Windows Vista,Call of Duty 4: Modern Warfare System Requirements
4 GB,NVIDIA GeForce 9800 GT,Intel Core 2 Duo Q6867,25 GB,"Ubuntu 14.04, Linux Mint 17, Steam OS",The Witcher 2: Assassins of Kings Enhanced Edition System Requirements
 4 GB, AMD Radeon HD 7750 , Intel Core i3-3240 , 4 GB, Windows 7 or later,Cult of the Lamb System Requirements
 8 GB, NVIDIA GeForce RTX 2060 , Intel Core i7-3770 , 67 GB, Windows 10,Steelrising System Requirements
